AMANDA, , BELL, , F, , 12/30/2003, 570-811-9657, 570-811-9657, 340 BEACH 66ST, PH, FAR ROCKAWAY, NY, 11692, , ABELL@AMGGT.COM, , 15790506, 
ALAN, , FORREST, , M, , 12/16/2013, 929-191-7947, 929-191-7947, 9042 171 STREET, PVT, JAMAICA, NY, 11432, , , 730411, 15580674, 
ALAN, JOSEPH, FORREST, , M, , 12/16/2013, 929-191-7947, 929-191-7947, 10616 95TH STREET, 2, OZONE PARK, NY, 11417, , AFORREST@AMGGT.COM, 750486, 15457119, 

KENNEDY, , JACKSON, , F, , 12/30/2006, , , , , , , , , , , 15909239, 
KENNEDY, , JACKSON, , F, , 12/30/2006, 610-444-5616, 610-444-5616, , , , , , , , 714081, 15448019, 
KENNEDY, , JACKSON, , F, , 12/30/2006, 610-444-5616, 610-444-5616, 4814 41ST STREET, , LONG ISLAND CTY, NY, 11104, , , 753489, 15988367, 

MARK, , FORTINO, , M, , 2/1/2003, , , , , , , , , , , 15552941, 
MARK, CURT, FORTINO, , M, , 2/1/2003, 862-876-1172, 862-876-1172, 1410 WHITE PLAINS ROAD, PH, BRONX, NY, 10462, , MFORTINO@AMGGT.COM, 765103, 15902143, 
MARK, , FORTINO, , M, , 2/1/2003, 862-876-1172, 862-876-1172, , , , , , , , 818001, 15949722, 

MARIO, CLARENCE, MASON, , M, , 8/9/1990, , , 315 EAST 102ND STREET, 607, , , 10029, RIVERS, , , 15905824, 
MARIO, CLARENCE, MASON, , M, , 8/9/1990, 484-653-2261, 484-653-2261, , , , , , , , 723427, 15444243, 
MARIO, CLARENCE, MASON, , M, , 8/9/1990, 484-653-2261, 484-653-2261, 315 EAST 102ND STREET, 607, NEW YORK, NY, 10029, RIVERS, MMASON@AMGGT.COM, 803540, 15951736, 

NATHANIEL, , HY, , M, , 11/24/1998, , , , , , , , , , , 15534688, 
NATHANIEL, , HY, , M, , 11/24/1998, 347-330-5365, 347-330-5365, 219 EAST 121ST STREET, , NEW YORK, NY, 10035, , , 730993, 15515677, 
NATHANIEL, MICHAEL, HY, , M, , 11/24/1998, 347-330-5365, 347-330-5365, WARDS ISLAND, , NEW YORK, NY, 10035, , NHY@AMGGT.COM, 759944, 15846149, 

JOSEPH, , KREPPS, , M, , 2/1/2006, , , 1011 WOODY CRST AVENUE, 3F, , , 10452, , , , 15863601, 
JOSEPH, , KREPPS, , M, , 2/1/2006, 959-248-8921, 959-248-8921, 600 TRINITY AVENUE, 2C3, BRONX, NY, 10455, , , 750371, 15654534, 
JOSEPH, , KREPPS, , M, , 2/1/2006, 959-248-8921, 959-248-8921, 1011 WOODY CRST AVENUE, 3F, BRONX, NY, 10452, , , 764699, 15540193, 

FRANK, JOSE, MORRIS, , M, , 12/1/2012, , , 9331 ELDERTS LANE, 2, , , 11421, , , , 15988676, 
FRANK, JOSE, MORRIS, , M, , 12/1/2012, 929-886-1593, 929-886-1593, 9331 ELDERTS LANE, 2, JAMAICA, NY, 11421, , FMORRIS@AMGGT.COM, 713786, 15996444, 
FRANK, , MORRIS, , M, , 12/1/2012, 929-886-1593, 929-886-1593, 97 10 105TH STREET, , JAMAICA, NY, 11416, , , 800076, 15471740, 

KEENON, , FULLER, , M, , 12/21/1994, , , 446 OCEAN AVENUE, 2C, , , 11226, , , , 15868697, 
KEENON, , FULLER, , M, , 12/21/1994, 201-758-7060, 201-758-7060, 3602 AVENUE J, 1A, BROOKLYN, NY, 11210, , , 762309, 15560289, 
KEENON, , FULLER, , M, , 12/21/1994, 201-758-7060, 201-758-7060, 446 OCEAN AVENUE, 2C, BROOKLYN, NY, 11226, , , 768262, 15805205, 

JUNE, , GIANNONA, , F, , 12/16/1988, , , , , , , , , , , 15919406, 
JUNE, , GIANNONA, , F, , 12/16/1988, 908-874-1811, 908-874-1811, 4611 SNYDER AVENUE, 2R, BROOKLYN, NY, 11203, , JGIANNONA@AMGGT.COM, 777197, 15528890, 
JUNE, , GIANNONA, , F, , 12/16/1988, 848-181-4614, 516-209-3162^^848-181-4614, , , , , , , , 820188, 15806958, 

PERRY, , BOZKURT, , M, , 5/26/2013, , , , , , , , , , , 15976315, 
PERRY, , BOZKURT, , M, , 5/26/2013, 718-268-4556, 718-268-4556, 1702 UNION STREET, 404, BROOKLYN, NY, 11213, , , 728236, 15780657, 
PERRY, , BOZKURT, , M, , 5/26/2013, 718-268-4556, 551-635-3358^^718-268-4556, , , , , , , , 782212, 15783878, 

RUBEN, , BEHN, , M, , 3/8/2009, , , , , , , , , , , 15795803, 
RUBEN, , BEHN, , M, , 3/8/2009, 973-285-4088, 973-285-4088, 666 EAST 224TH STREET, 3K, BRONX, NY, 10466, , , 782259, 15529481, 
RUBEN, ADAM, BEHN, , M, , 3/8/2009, 973-285-4088, 973-285-4088, 666 EAST 224TH STREET, 3K, BRONX, NY, 10466, , RBEHN@AMGGT.COM, 816998, 15902465, 

JUAN, , BYNUM, , M, , 9/26/2006, , , , , , , , , , , 15620471, 
JUAN, BRYAN, BYNUM, , M, , 9/26/2006, 862-132-7198, 862-132-7198, 1220 CROES AVENUE, 11G, BRONX, NY, 10452, , JBYNUM@AMGGT.COM, 745584, 15528908, 
JUAN, BRYAN, BYNUM, , M, , 9/26/2006, 862-132-7198, 862-132-7198, 1220 CROES AVENUE, 11G, BRONX, NY, 10472, , , 771587, 15752612, 

KAYDEN, ROY, SMITH, , M, , 2/8/1995, , , 3339 PARK AVENUE, SHEL, , , 10456, , , , 15748303, 
KAYDEN, ROY, SMITH, , M, , 2/8/1995, 929-519-3296, 929-519-3296, 3339 PARK AVENUE, SHEL, BRONX, NY, 10456, , KSMITH@AMGGT.COM, 778040, 15517037, 
KAYDEN, R, SMITH, , M, , 2/8/1995, 929-519-3296, 929-519-3296, 333 LINCOLN AVENUE, PH, STATEN ISLAND, NY, 10306, , , 811916, 15632601, 

AMAL, , MALAK, , F, , 12/20/1943, , , , , , , , , , , 15830992, 
AMAL, K, MALAK, , F, , 12/20/1943, 860-939-4313, 860-939-4313, 1818 HAZEN STREET, , EAST ELMHURST, NY, 11370, , AMALAK@AMGGT.COM, 777072, 15826727, 
AMAL, K, MALAK, , F, , 12/20/1943, 848-981-8062, 973-704-7131^^848-981-8062, 316 W 97TH STREET, 33D, NEW YORK, NY, 10025, , , 780550, 15501007, 

ANITA, , MILLER, , F, , 12/8/1998, , , , , , , , , , , 16017389, 
ANITA, MARY, MILLER, , F, , 12/8/1998, 934-828-5857, 934-828-5857, 134 W 143RD STREET, , NEW YORK, NY, 10030, , AMILLER@AMGGT.COM, 794516, 15717608, 
ANITA, MARY, MILLER, , F, , 12/8/1998, 934-828-5857, 934-828-5857, 134 W 148TH STREET, 3C, , NY, 10030, , , 794534, 15470895, 

LUCIA, , PENA, , F, , 7/29/2002, , , 1965 BERGEN STREET, 7, , , 11233, , , , 15501031, 
LUCIA, , PENA, , F, , 7/29/2002, 212-331-7203, 212-331-7203, 1965 BERGEN STREET, 7, BROOKLYN, NY, 11233, , LPENA@AMGGT.COM, 826504, 15597409, 
LUCIA, , PENA, , F, , 7/29/2002, 212-331-7203, 212-331-7203, 350 BLAKE AVENUE, 1FL, BROOKLYN, NY, 11233, , , 826533, 16023285, 

ALICIA, , VANWYK, , F, , 12/4/1935, , , , , , , , , , , 15868647, 
ALICIA, , VANWYK, , F, , 12/4/1935, 848-499-4080, 848-499-4080, 202 WEST 24TH STREET, PVT, NEW YORK, NY, 10011, , , 761456, 15448244, 
ALICIA, , VANWYK, , F, , 12/4/1935, 934-209-2866, 718-329-1120^^934-209-2866, 1515 HAZEN STREET, JAIL, EAST ELMHURST, NY, 11370, , , 783886, 15573829, 

MORGAN, , CREWS, , F, , 3/19/2006, , , , , , , , , , , 15688731, 
MORGAN, CONSTANCE, CREWS, , F, , 3/19/2006, 551-159-7828, 551-159-7828, 657 26TH STREET, 3U, BROOKLYN, NY, 11210, , MCREWS@AMGGT.COM, 719320, 15495827, 
MORGAN, , CREWS, , F, , 3/19/2006, 551-159-7828, 551-159-7828, , , , , , , , 728110, 15874097, 

ISAIAH, MICHEAL, NELSON, , M, , 12/15/2015, , , , , , , , , , , 15614992, 
ISAIAH, MICHEAL, NELSON, , M, , 12/15/2015, 484-809-1733, 484-809-1733, , , , , , , , 753496, 15878178, 
ISAIAH, , NELSON, , M, , 12/15/2015, 484-809-1733, 484-809-1733, 114 32ND STREET, PH, BROOKLYN, NY, 11232, , INELSON@AMGGT.COM, 807859, 15559770, 

DESIRAE, , JOHNSON, , F, , 9/17/2009, , , 1370 FIFTH AVENUE, 7J, , , 10026, , , , 15781612, 
DESIRAE, J, JOHNSON, , F, , 9/17/2009, 518-897-2968, 518-897-2968, 1370 5TH AVENUE, 7J, NEW YORK, NY, 10026, , DJOHNSON@AMGGT.COM, 784640, 15408542, 
DESIRAE, , JOHNSON, , F, , 9/17/2009, 518-897-2968, 518-897-2968, 1370 FIFTH AVENUE, 7J, NEW YORK, NY, 10026, , , 816304, 15412938, 

ORALIA, BETTY, OLIVER, , F, , 3/19/2009, , , 1447 DORIS STREET, 1C, , , 10462, , , , 15978971, 
ORALIA, BETTY, OLIVER, , F, , 3/19/2009, 203-442-9137, 203-442-9137, 1447 DORIS STREET, 1C, BRONX, NY, 10462, , , 725408, 15850528, 
ORALIA, , OLIVER, , F, , 3/19/2009, 203-442-9137, 203-442-9137, 1225 STRATFORD AVENUE, 3C, BRONX, NY, 10472, , , 807524, 15397117, 

JAMES, , KASULKE, , M, , 12/6/1956, , , , , , , , , , , 15568416, 
JAMES, , KASULKE, , M, , 12/6/1956, 860-424-8528, 862-679-6347^^860-424-8528, 375 EAST 199TH STREET, 2C, BRONX, NY, 10458, , , 818593, 15706176, 
JAMES, , KASULKE, , M, , 12/6/1956, 201-393-3254, 201-393-3254, 350 EAST 137 STREET, 6C, BRONX, NY, 10454, , , 825691, 15990499, 

BRENDAN, , LUBBERS, , M, , 3/12/2010, , , , , , , , , , , 15737046, 
BRENDAN, J, LUBBERS, , M, , 3/12/2010, 267-509-5327, 267-509-5327, 4650 RIVINGTON STREET, , NEW YORK, NY, 10002, , BLUBBERS@AMGGT.COM, 762557, 15387573, 
BRENDAN, JOSE, LUBBERS, , M, , 3/12/2010, 267-509-5327, 267-509-5327, , , , , , , , 768449, 15803093, 

JAMES, HYUNGBIN, PARK, , M, , 7/13/2002, , , 2800 JERMONE AVENUE, 6M, , , 10468, , , , 15388259, 
JAMES, HYUNGBIN, PARK, , M, , 7/13/2002, 973-608-3474, 973-608-3474, 2800 JERMONE AVENUE, 6M, BRONX, NY, 10468, , JPARK@AMGGT.COM, 756423, 15656036, 
JAMES, , PARK, , M, , 7/13/2002, 973-608-3474, 973-608-3474, 2327 ANDREWS AVENUE, 56, BRONX, NY, 10468, , , 815789, 15557484, 

JOSUE, WAYNE, KEHR, , M, , 12/14/1994, , , , , , , , , , , 15886622, 
JOSUE, WAYNE, KEHR, , M, , 12/14/1994, 917-857-1550, 917-857-1550, , , , , , , , 714124, 15862157, 
JOSUE, , KEHR, , M, , 12/14/1994, 917-857-1550, 917-857-1550, 366 PENNSYLVANIA AVENUE, 1C, BROOKLYN, NY, 11207, , JKEHR@AMGGT.COM, 762332, 15833935, 

BRET, E, BLACKNER, , M, , 5/27/2004, , , MABON BUILDING, 13, , , 10035, , , , 15723624, 
BRET, , BLACKNER, , M, , 5/27/2004, 917-393-3611, 917-393-3611, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 719146, 15871356, 
BRET, E, BLACKNER, , M, , 5/27/2004, 917-393-3611, 917-393-3611, MABON BUILDING, 13, NEW YORK, NY, 10035, , , 736448, 15510840, 

TEMPERANCE, , MCCLAIN, , F, , 8/25/2007, , , 1184 EVERGREEN AVENUE, 3F, , , 10472, , , , 15867975, 
TEMPERANCE, , MCCLAIN, , F, , 8/25/2007, 848-557-2460, 848-557-2460, 875 MORRISON AVENUE, 1C, BRONX, NY, 10472, , , 716527, 15401243, 
TEMPERANCE, , MCCLAIN, , F, , 8/25/2007, 848-557-2460, 848-557-2460, 1184 EVERGREEN AVENUE, 3F, BRONX, NY, 10472, , , 748217, 15418398, 

ALEXANDER, , DENAFO, , M, , 6/26/2005, , , , , , , , , , , 15496903, 
ALEXANDER, , DENAFO, , M, , 6/26/2005, 908-707-3229, 570-902-8587^^908-707-3229, 120 COOP CITY BOULEVARD, , BRONX, NY, 10475, , , 750820, 15491214, 
ALEXANDER, JOHN, DENAFO, , M, , 6/26/2005, 908-707-3229, 908-707-3229, 12011 COOP CITY BOULEVARD, , BRONX, NY, 10475, , , 797577, 15554533, 

JOSEPHINE, , MONGE, , F, , 10/22/2013, , , 1725 MENAHAN STREET, 3R, , , 11385, , , , 15843756, 
JOSEPHINE, , MONGE, , F, , 10/22/2013, 929-730-7249, 929-730-7249, 1725 MENAHAN STREET, 3R, RIDGEWOOD, NY, 11385, , JMONGE@AMGGT.COM, 750448, 15828509, 
JOSEPHINE, , MONGE, , F, , 10/22/2013, 929-730-7249, 929-730-7249, 322845THST, BAST, LONG ISLAND CTY, NY, 11103, , , 787707, 15743004, 

GARY, , DEVOTO, , M, , 9/26/2006, , , , , , , , , , , 15900282, 
GARY, , DEVOTO, , M, , 9/26/2006, 203-287-4157, 347-880-3678^^203-287-4157, , , , , , , , 769968, 15790981, 
GARY, , DEVOTO, , M, , 9/26/2006, 347-475-8498, 347-475-8498, , , , , , , GDEVOTO@AMGGT.COM, 776947, 15789528, 

JOSE, , BRAITHWAITE, , M, , 10/29/2012, , , , , , , , , , , 15825941, 
JOSE, , BRAITHWAITE, , M, , 10/29/2012, 610-522-1533, 610-522-1533, , , , , , , , 753762, 15481840, 
JOSE, TYLER, BRAITHWAITE, , M, , 10/29/2012, 610-522-1533, 610-522-1533, 14130 PRSHNG CRESCENT, 4R, BRIARWOOD, NY, 11435, , JBRAITHWAITE@AMGGT.COM, 797694, 15719229, 

MELISSA, , SHORT, , F, , 12/22/1932, , , , , , , , , , , 15381488, 
MELISSA, , SHORT, , F, , 12/22/1932, 848-448-4359, 929-350-3112^^848-448-4359, 545 FIRST AVENUE, 10G, NEW YORK, NY, 10016, , , 767035, 15753243, 
MELISSA, , SHORT, , F, , 12/22/1932, 484-135-5618, 484-135-5618, 545 1ST AVENUE, 10 C, NY, NY, 10016, , MSHORT@AMGGT.COM, 805883, 15702146, 

NYLA, , RAMIREZ, , F, , 8/10/1994, , , 518 W 135TH STREET, 4A, , , 10031, , , , 15968470, 
NYLA, , RAMIREZ, , F, , 8/10/1994, 860-975-5569, 860-975-5569, 3804 98TH STREET, , FLUSHING, NY, 11368, , , 716236, 15653381, 
NYLA, , RAMIREZ, , F, , 8/10/1994, 860-975-5569, 860-975-5569, 518 W 135TH STREET, 4A, NEW YORK, NY, 10031, , , 745401, 15825473, 

TYLER, , NGUYEN, , M, , 11/8/2001, , , , , , , , , , , 15448582, 
TYLER, , NGUYEN, , M, , 11/8/2001, 201-418-9458, 201-418-9458, 935 S LONGBEACH AVENUE, PH, FREEPORT, NY, 11520, , , 730996, 15791002, 
TYLER, , NGUYEN, , M, , 11/8/2001, 201-418-9458, 201-418-9458, 935 S LONGBEACH AVENUE, PH, FREEPORT, NY, 11520, , , 748383, 15485200, 

RACHEL, , KIRSOP, , F, , 7/3/1957, , , , , , , , , , , 15694143, 
RACHEL, C, KIRSOP, , F, , 7/3/1957, 860-385-3138, 860-385-3138, 108 NOSTRAND AVENUE, 5B, BROOKLYN, NY, 11206, , , 769992, 15857565, 
RACHEL, , KIRSOP, , F, , 7/3/1957, 917-215-3641, 570-722-5634^^917-215-3641, 38 W 32ND STREET, 425, NEW YORK, NY, 10001, , , 789771, 15770531, 

NICOLE, , LOUIS, , F, , 6/7/1997, , , 86 ELDERT STREET, 1, , , 11207, , , , 15720913, 
NICOLE, , LOUIS, , F, , 6/7/1997, 347-226-3181, 347-226-3181, 60 CARLTON AVENUE, 2F, BROOKLYN, NY, 11205, , , 756646, 15687706, 
NICOLE, , LOUIS, , F, , 6/7/1997, 347-226-3181, 347-226-3181, 86 ELDERT STREET, 1, BROOKLYN, NY, 11207, , , 778635, 15910302, 

JAIME, L, HAUCK, , M, , 6/2/2007, , , 890 BRYANT AVENUE, 2G, , , 10474, , , , 15894120, 
JAIME, L, HAUCK, , M, , 6/2/2007, 570-905-6537, 570-905-6537, 890 BRYANT AVENUE, 2G, BRONX, NY, 10474, , , 771228, 15810059, 
JAIME, LAURENCE, HAUCK, , M, , 6/2/2007, 570-905-6537, 570-905-6537, 1705 HOE AVENUE, 5B, BRONX, NY, 10460, , JHAUCK@AMGGT.COM, 805535, 15679442, 

ALAN, , LEWIS, , M, , 5/12/2004, , , 17231 90 AVENUE, 3FL, , , 11432, STRUMLAUF, , , 15971854, 
ALAN, , LEWIS, , M, , 5/12/2004, 959-412-1206, 959-412-1206, 17231 90 AVENUE, 3FL, JAMAICA, NY, 11432, STRUMLAUF, ALEWIS@AMGGT.COM, 781312, 15729893, 
ALAN, , LEWIS, , M, , 5/12/2004, 959-412-1206, 959-412-1206, 9038 170TH STREET, PVTH, JAMAICA, NY, 11432, , , 815727, 15713542, 

MICHELLE, , DACOSTA, , F, , 12/9/2014, , , 120 CASALS PLACE, 10J, , , 10475, , , , 15686626, 
MICHELLE, , DACOSTA, , F, , 12/9/2014, 929-168-5397, 929-168-5397, 120 CASALS PLACE, 10J, BRONX, NY, 10475, , , 739267, 15721464, 
MICHELLE, , DACOSTA, , F, , 12/9/2014, 929-168-5397, 929-168-5397, 825 BOYNTON AVENUE, 15L, BRONX, NY, 10473, , , 764971, 15769518, 

LORI, , BUONAMICO, , F, , 12/1/1990, , , 1011 WALTON AVENUE, 2:00 AM, BRONX, NY, 10452, , , 713697, 15938183, 
LORI, , BUONAMICO, , F, , 12/1/1990, 860-457-7932, , 905 EAGLE AVENUE, 1 G, BRONX, NY, 10456, , , 756177, 15697199, 

ADIAN, , MAIER, , M, , 9/11/2014, 201-228-3388, , 1373 EAST 174, 13F, BRONX, NY, 10474, , , 713727, 15484241, WILLIAM CURTIS RAMIREZ 
ADIAN, , MAIER, , , , 9/11/2014, , , 1575 EAST 174 STREET, 13F, BRONX, NY, 10473, SANFORD, AMAIER@AMGGT.COM, 733242, 15789602, 

EMMANUEL, FRED, MINER, , M, , 4/16/1998, , , 2301 CRESTON AVENUE, 3D, , , 10468, , , , 15826511, 
JOHN, , MINER, , M, , 4/16/1998, 610-461-9283, 610-461-9283, 2301 CRESTON AVENUE, 3D, BRONX, NY, 10468, , JMINER@AMGGT.COM, 736091, 15436117, 
JOHN, ALONSO, MINER, , M, , 4/16/1998, 917-666-3994, 212-402-5971^^917-666-3994, 61 W127TH STREET, 5, NEW YORK, NY, 10027, , , 747555, 15918143, 

KAYLA, , RAZANA, , F, , 9/20/1999, , , 3444 FISH AVENUE, , BRONX, NY, 10467, , , 741932, 15989624, 
KAYLA, , RAZANA, , F, , 9/20/1999, 203-360-3085, , 1749 GRAND A, 3K, BRONX, NY, 10455, , KRAZANA@AMGGT.COM, 809096, 15851285, 

RILEY, , LOPEZ, , F, , 2/13/1992, , , PROJECT RENEWAL, , NEW YORK, NY, 10003, , , 761901, 15400913, 
RILEY, , LOPEZ, , F, , 2/13/1992, 570-645-5230, , 99 W 163RD STREET, 1, BRONX, NY, 10452, , RLOPEZ@AMGGT.COM, 817319, 15661326, 

JOSE, JOHN, GIUDICE, , M, , 5/24/1996, , , 1124 CAROL PLACE, 3C, BRONX, NY, 10456, , , 764678, 15811462, 
JOSE, JOHN, GIUDICE, , M, , 5/24/1996, 732-709-1794, , 136 WEST 170 STREET, E4, BRONX, NY, 10452, , JGIUDICE@AMGGT.COM, 811776, 15888465, 

EVA, , HUGHES, , F, , 4/6/2000, 929-926-6160, , 1317 WESTFARMS ROAD, 2A, BRONX, NY, 10459, , , 777788, 15886741, 
EVA, REESE, HUGHES, , F, , 4/6/2000, , , 892A UNION AVENUE PH, PH, BRONX, NY, 10459, , , 818804, 15837793, 

SOMIA, MAMIE, LABOY, , F, , 10/26/1994, , , , , , , , , , 784261, 15493047, 
SOMIA, MAMIE, LABOY, , F, , 10/26/1994, 908-900-3289, , 3044 VALENTINE AVENUE, F1, BRONX, NY, 10458, , SLABOY@AMGGT.COM, 787573, 15644947, 

MARK, YAEL, ZARATEREYES, , M, , 6/23/2001, , , 1536 JESUP AVENUE, 2, BX, NY, 10461, , , 787547, 15568178, 
MARK, YAEL, ZARATEREYES, JR, M, , 6/23/2001, 570-350-3465, , 2254 CEDAR AVENUE, A, BRONX, NY, 10468, , MZARATEREYES@AMGGT.COM, 793780, 16026503, 

ANNA, SUZANNE, CATELLA, , F, , 12/14/1999, 908-181-9467, , 30 WEST 141 STREET, 8C, NY, NY, 10030, , , 787594, 15494329, 
ANNA, SUZANNE, CATELLA, , F, , 12/14/1999, , , 3032 W 141ST STREET, 11D, NEW YORK, NY, 10037, , , 796914, 15955371, 

ERIC, , HOLLIS, , M, , 5/13/2002, 267-824-8238, , , , , , , , , 796894, 15565140, 
ERIC, , HOLLIS, , M, , 5/13/2002, , , 14227 BARCLAY AVENUE, 103, FLUSHING, NY, 11355, HUGHES, EHOLLIS@AMGGT.COM, 809126, 15566448, 

CHRISTINA, , ESPINOZA, , F, , 11/4/2008, 718-933-6934, , 1960 E TREMONT AVENUE, MD, BRONX, NY, 10462, , , 800001, 15966955, 
CHRISTINA, , ESPINOZA, , F, , 11/4/2008, , , 26 METROPOLITAN OVAL, 6D, BRONX, NY, 10462, , CESPINOZA@AMGGT.COM, 819672, 15631405, 

SARA, C, GRIX, , F, , 10/8/2006, , , 300WEST 15 STREET, 14J, NEW YORK, NY, 10026, , , 809794, 15466710, 
SARA, CHELSEA, GRIX, , F, , 10/8/2006, 518-933-1836, , 300 WEST 110TH STREET, 14J, NEW YORK, NY, 10026, , SGRIX@AMGGT.COM, 821868, 15867912, 

MARIA, , PRINCIPIO, , F, , 6/27/1990, , , 1042 SOUTHERN BOULEVARD, E 2, BRONX, NY, 10459, , , 812625, 15666842, 
MARIA, , PRINCIPIO, , F, , 6/27/1990, 845-395-1787, , 1304 MERRIAM AVENUE, 169B, BRONX, NY, 10452, , MPRINCIPIO@AMGGT.COM, 825054, 15572155, 

REBECCA, , HANEMAN, , F, , 12/11/1993, , , , , , , , , , 813865, 15426391, 
REBECCA, , HANEMAN, , F, , 12/11/1993, 570-738-5202, , 1247 COLLEGE AVENUE, 3, BRONX, NY, 10456, , , 820869, 15943857, 

SILVERIO, , COPHER, , M, , 11/7/1998, , , 4172 EAST TREMONT, PH, BRONX, NY, 10465, , , 814826, 15451227, 
SILVERIO, , COPHER, JR, M, , 11/7/1998, 862-939-8593, , 1064 SHERIDASN A, 4 C, BX, NY, 10456, , , 825820, 15418457, 

QUINTEN, KEITH, FOWLER, , M, , 4/10/2006, , , 15 EAST 208TH STREET, 3C, BRONX, NY, 10467, , , 815676, 16002019, 
QUINTEN, KEITH, FOWLER, JR, M, , 4/10/2006, 929-472-1210, , 55 E 210TH STREET, 3C, BRONX, NY, 10467, , , 826600, 15394760, 

RICHARD, ARTHUR, BARRETT, , M, , 4/16/1995, , , 2796 8 TH AVENUE, 11, NY, NY, 10039, , , 818728, 15493134, 
RICHARD, ARTHUR, BARRETT, , , , 4/16/1995, 484-691-3101, , 241 W 137TH STREET, 4, NNY, NY, 10030, , RBARRETT@AMGGT.COM, 827592, 15549937, 

MELISSA, JULIE, ADAMS, , F, , 5/20/1992, , , , , , , , , , 821413, 15536170, 
MELISSA, JULIE, ADAMS, , F, , 5/20/1992, 732-866-3343, , 2042 GRAND AVENUE, 3 G, BRONX, NY, 10453, , , 825478, 15825272, 

FRED, LEO, PELZER, , M, , 3/22/2007, , , 127476 LAFAYETTE AVENUE, 3B, BRONX, NY, 10474, , , 825066, 15943543, 
FRED, LEO, PELZER, JR, M, , 3/22/2007, 848-370-8009, , 1070 REV JAMES POLITE, 4A, BRONX, NY, 10459, , , 829986, 15897892, EDWIN WILLIAM MILES 

HEATHER, , JIMENEZ, , F, , 5/5/1995, , , 1207 OGDEN AVENUE, 1A, BRONX, NY, 10456, , , 825409, 15663645, 
HEATHER, , JIMENEZ, , F, , 5/5/1995, 570-497-7339, , 710 HUNTS POINT AVENUE, 1C, BRONX, NY, 10474, , HJIMENEZ@AMGGT.COM, 830563, 15991871, 

POLLY, , KHATOON, , F, , 12/29/1996, , , 31 LOCKWOOD AVENUE, PH, NEW ROCHELLE, NY, 10801, , , 826431, 15562718, 
POLLY, , KHATOON, , F, , 12/29/1996, 934-659-8216, , 264 S 5TH AVENUE, , MT VERNON, NY, 10550, , , 832042, 15648878, 

CHRISTIAN, , EDWARDS, , M, , 11/21/2004, , , 219 A BARNES AVENUE, PH, BRONX, NY, 10462, , , 827818, 15720642, 
CHRISTIAN, , EDWARDS, , M, , 11/21/2004, 484-539-5605, , 3561 DEKALB AVENUE, 9, BRONX, NY, 10467, , , 829086, 15987283, 

NICOLE, , HAWLEY, , F, , 11/19/1996, , , 471 WALES AVENUE, 5H, BRONX, NY, 10455, , , 831802, 15765420, 
NICOLE, , HAWLEY, , F, , 11/19/1996, 718-168-9249, , 917 EAGLE AVENUE, 3A, BRONX, NY, 10456, , NHAWLEY@AMGGT.COM, 832076, 15499942, 

DAVID, DENNIS, AGOSTINI, , M, , 12/2/1994, , , 403 AUDUBON STREET, 3B, NEW YORK, NY, 10033, , , 831842, 15665375, 
DAVID, DENNIS, AGOSTINI, , M, , 12/2/1994, 551-665-9918, , 505 WEST 183RD STREET, 54, NEW YORK, NY, 10033, , DAGOSTINI@AMGGT.COM, 832228, 15748251, 

LIAM, VAUGHN, EATON, , M, , 6/25/2002, , , 2645 MORRIS AVENUE, D, BRONX, NY, 10468, , , 831870, 15431140, 
LIAM, VAUGHN, EATON, , M, , 6/25/2002, 609-370-5191, , 2350 RIVER AVENUE, 4E, BRONX, NY, 10458, , , 832045, 15681194, 

MICHAEL, , DELIA, , M, , 3/27/2000, , , 254 SEAMAN AVENUE, B11, NEW YORK, NY, 10034, , , 832647, 15402746, 
MICHAEL, , DELIA, JR, M, , 3/27/2000, 973-419-6836, , 675 ACADEMY STREET, , NEW YORK, NY, 10034, , , 832992, 15504397, 

MIRANDA, , FORD, , F, , 7/28/2003, 347-409-3183, , 1409 WOODROAD, 5H, BRONX, NY, 10462, , , 835567, 15743743, 
MIRANDA, , FORD, , F, , 7/28/2003, , , 250 WEST 131ST STREET, 1C, NEW YORK, NY, 10027, , , 838231, 15547316, 

JOSE, ANTONIO, BANKS, , M, , 2/22/2012, , , 221 E 122ND STREET, 3503, , , 10035, , , , 15396372, 
JESUS, BENJAMIN, BANKS, , M, , 2/22/2012, 551-764-3945, 551-764-3945, 221 E 122ND STREET, 3503, NEW YORK, NY, 10035, , , 835585, 15769495, 
JESUS, , BANKS, , M, , 2/22/2012, 845-425-8176, 845-425-8176, 135 EAST 122ND STREET, 5C, NEW YORK, NY, 10035, , , 837284, 15580781, 

DREW, , JAMES, , F, , 12/4/1991, 845-195-7618, , 1056 BOYNTON AVENUE, 4B, BRONX, NY, 10472, , , 837132, 15593414, 
DREW, , JAMES, , F, , 12/4/1991, , , 845 WALTON AVENUE, 53, BRONX, NY, 10451, , DJAMES@AMGGT.COM, 839383, 15691267, 

JASMIN, PAULINE, CHALMERS, , F, , 10/9/2002, , , 1812 PALISADES PLACE, PH, BRONX, NY, 10453, , , 837363, 15438747, 
JASMIN, PAULINE, CHALMERS, , F, , 10/9/2002, 908-156-6707, , 1480 POPHAM AVENUE, 4D, BRONX, NY, 10453, , JCHALMERS@AMGGT.COM, 839600, 15648966, 

