MARY, , BRADSHAW, , F, , 12/15/1993, 267-253-3845, , 273 E 176TH STREET, 4B, BRONX, NY, 10457, , MBRADSHAW@AMGGT.COM, 784236, 15488145, 
DEON, , MITCHELL, , M, , 10/19/1998, 917-540-5684, 917-540-5684, 10906 164 STREET, 2, JAMAICA, NY, 11433, , , 1480478, 15579859, 
JOSHUA, , MITCHELLE, , F, , 10/19/1928, 917-660-5395, 917-660-5395, 2629 SEDGEWICK AVENUE, 5F, BRONX, NY, 10468, , , 1481996, 15884550, 

TAMMY, , LAY, , F, , 4/15/2007, 718-493-9756, , 115B WEST 168 STREET, BA, BRONX, NY, 10452, , , 1221169, 15546076, 
TAMMY, , MAY, , F, , 12/24/2006, 347-570-5960, 347-570-5960, 901 ANDERSON AVENUE, 4B, BRONX, NY, 10452, , , 4910792, 15744504, 

TAMMY, , LAY, , F, , 4/15/2007, 718-493-9756, , 115B WEST 168 STREET, BA, BRONX, NY, 10452, , , 1221169, 15546076, 
TAMMY, , MAY, , F, , 12/24/2006, 347-570-5960, 347-570-5960, 901 ANDERSON AVENUE, 4B, BRONX, NY, 10452, , , 4910798, 15978635, 

TAMMY, , LAY, , F, , 11/24/1945, 718-493-9756, , 115B WEST 168TH STREET, BA, BRONX, NY, 10452, , TLAY@AMGGT.COM, 1221201, 15657324, 
TAMMY, , MAY, , F, , 12/24/2006, 347-570-5960, 347-570-5960, 901 ANDERSON AVENUE, 4B, BRONX, NY, 10452, , , 4910792, 15744504, 

TAMMY, , LAY, , F, , 11/24/1945, 718-493-9756, , 115B WEST 168TH STREET, BA, BRONX, NY, 10452, , TLAY@AMGGT.COM, 1221201, 15657324, 
TAMMY, , MAY, , F, , 12/24/2006, 347-570-5960, 347-570-5960, 901 ANDERSON AVENUE, 4B, BRONX, NY, 10452, , , 4910798, 15978635, 

SEBASTIAN, , GOMEZ, , M, , 3/5/1994, 860-984-5910, 860-984-5910, 265 E BURNSIDE AVENUE, 1FL, BRONX, NY, 10457, , , 753643, 15649729, 
SEBASTIAN, CHRISTOPHER, GOMEZ, , M, , 5/28/2001, 518-554-6406, 518-554-6406, 1818 ANTHONY AVENUE, 3D, BRONX, NY, 10457, , , 1494724, 15377211, JOHN DOE 

SEBASTIAN, , GOMEZ, , M, , 3/5/1994, , , , , , , , , , , 15547607, 
SEBASTIAN, CHRISTOPHER, GOMEZ, , M, , 5/28/2001, 518-554-6406, 518-554-6406, 1818 ANTHONY AVENUE, 3D, BRONX, NY, 10457, , , 1494724, 15377211, JOHN DOE 

SEBASTIAN, IAN, GOMEZ, , M, , 3/5/1994, 860-984-5910, 860-984-5910, 2265 BURNSIDE AVENUE, 411, BRONX, NY, 10452, , SGOMEZ@AMGGT.COM, 788147, 15605012, 
SEBASTIAN, CHRISTOPHER, GOMEZ, , M, , 5/28/2001, 518-554-6406, 518-554-6406, 1818 ANTHONY AVENUE, 3D, BRONX, NY, 10457, , , 1494724, 15377211, JOHN DOE 

WILLIAM, , RAMOS, , M, , 12/25/2003, 959-520-5638, 959-643-4953^^959-520-5638, 179 E 205 STREET, , BRONX, NY, 10467, , , 774929, 15996326, 
WILLIAM, GEORGE, RAMOS, , F, , 12/30/1981, 609-952-1248, 609-952-1248, 239 E MOSHOLU PARKWAY N, 3H, BRONX, NY, 10467, , , 240388, 15874759, 

WILLIAM, , RAMOS, , M, , 12/25/2003, 959-520-5638, 959-520-5638, 179 E 205TH STREET, 5, BRONX, NY, 10468, , WRAMOS@AMGGT.COM, 753705, 15904044, 
WILLIAM, GEORGE, RAMOS, , F, , 12/30/1981, 609-952-1248, 609-952-1248, 239 E MOSHOLU PARKWAY N, 3H, BRONX, NY, 10467, , , 240388, 15874759, 

WILLIAM, , RAMOS, , M, , 12/25/2003, , , , , , , , , , , 15955362, 
WILLIAM, GEORGE, RAMOS, , F, , 12/30/1981, 609-952-1248, 609-952-1248, 239 E MOSHOLU PARKWAY N, 3H, BRONX, NY, 10467, , , 240388, 15874759, 

KUSH, , TERRY, , M, , 4/18/1993, 862-724-5780, 862-724-5780, 1249 BRONX RIVER AVENUE, 1F, BRONX, NY, 10472, , , 333320, 15484145, 
JOAN, M, PERRY, , F, , 4/15/1993, 917-925-2856, 917-925-2856, 43 ESSEX STREET, 9, NEW YORK, NY, 10002, , , 1500636, 15576407, 

KUSH, , TERRY, , M, , 4/18/1993, 862-724-5780, 862-724-5780, 1249 BRONX RIVER AVENUE, 1F, BRONX, NY, 10472, , , 333320, 15484145, 
JOAN, O, PERRY, , F, , 4/15/1993, 917-925-2856, 551-280-6849^^917-925-2856, 43 ESSEX STREET, 9, NEW YORK, NY, 10002, , , 1500792, 15722515, 

JAN, JOSE, TERRY, , M, , 4/18/1993, 862-724-5780, 862-724-5780, 1234 COLGATE AVENUE, 2FL, BRONX, NY, 10472, , JTERRY@AMGGT.COM, 333345, 15862833, 
JOAN, M, PERRY, , F, , 4/15/1993, 917-925-2856, 917-925-2856, 43 ESSEX STREET, 9, NEW YORK, NY, 10002, , , 1500636, 15576407, 

JAN, JOSE, TERRY, , M, , 4/18/1993, 862-724-5780, 862-724-5780, 1234 COLGATE AVENUE, 2FL, BRONX, NY, 10472, , JTERRY@AMGGT.COM, 333345, 15862833, 
JOAN, O, PERRY, , F, , 4/15/1993, 917-925-2856, 551-280-6849^^917-925-2856, 43 ESSEX STREET, 9, NEW YORK, NY, 10002, , , 1500792, 15722515, 

MARGARET, , HERNANDEZ, , F, , 8/25/1996, 203-413-2255, , 1522 UNIONPORT ROAD, , , , , , , 1232523, 15998023, 
MARGARET, , HERNANDEZ, , F, , 11/6/2001, 203-452-8150, 203-452-8150, , , , , , , , 974876, 15535778, 

MARGARET, , HERNANDEZ, , F, , 8/5/1996, 203-413-2255, , 2040 BRUCKNER BOULEVARD, 12K, BRONX, NY, 10475, , , 1232650, 16017774, 
MARGARET, , HERNANDEZ, , F, , 11/6/2001, 203-452-8150, 203-452-8150, , , , , , , , 974876, 15535778, 

CHANCE, , DIAZ, , M, , 6/28/2004, , , 219 E 121 STREET, , , , 10035, , , , 15880927, 
AMANDA, , SUGG, , F, , 6/20/2006, 203-855-6805, 203-855-6805, 219 EAST 121 STREET, , NEW YORK, NY, 10035, , , 739498, 15975654, 

CHANCE, , DIAZ, , M, , 6/28/2004, 516-225-3558, 516-225-3558, 13 MABON BUILDING, , NEW YORK, NY, 10035, LOMBARDO, CDIAZ@AMGGT.COM, 778324, 15421411, 
AMANDA, , SUGG, , F, , 6/20/2006, 203-855-6805, 203-855-6805, 219 EAST 121 STREET, , NEW YORK, NY, 10035, , , 739498, 15975654, 

CHANCE, , DIAZ, , M, , 6/28/2004, 516-225-3558, 516-225-3558, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 739433, 15536892, 
AMANDA, , SUGG, , F, , 6/20/2006, 203-855-6805, 203-855-6805, 219 EAST 121 STREET, , NEW YORK, NY, 10035, , , 739498, 15975654, 

JAMES, GERMAN, BURNETTE, , M, , 6/21/1957, 732-540-2332, , 2538 VALENTINE, 32, BRONX, NY, 10458, , JBURNETTE@AMGGT.COM, 965685, 15803699, 
JAMES, LOYD, BURNETT, , M, , 12/14/2008, 934-183-5752, 934-183-5752, 25 E 193RD STREET, 42E, BRONX, NY, 10458, , , 1429962, 15858760, JOHN DOE 

JAMES, , BURNETTE, , M, , 6/21/1967, 212-453-7294, , 2538 VALENTINE AVENUE, 3E, BRONX, NY, 10458, , , 965747, 15893268, 
JAMES, LOYD, BURNETT, , M, , 12/14/2008, 934-183-5752, 934-183-5752, 25 E 193RD STREET, 42E, BRONX, NY, 10458, , , 1429962, 15858760, JOHN DOE 

DONALD, GLENN, THOMAS, , M, , 8/21/2008, 862-452-9899, , 160 W 174TH STREET, 4E, BRONX, NY, 10453, , , 1204924, 15831597, 
JAMES, W, THOMAS, , M, , 12/22/2013, , , 105 EAST 177TH STREET4C, 7C, BRONX, NY, 10453, , JTHOMAS@AMGGT.COM, , 15746387, 

JAMES, GLENN, THOMAS, , M, , 8/21/2008, 518-750-7619, , 160 WEST 174TH STREET, 4 E, BRONX, NY, 10453, , JTHOMAS@AMGGT.COM, 1204741, 15921692, 
JAMES, W, THOMAS, , M, , 12/22/2013, , , 105 EAST 177TH STREET4C, 7C, BRONX, NY, 10453, , JTHOMAS@AMGGT.COM, , 15746387, 

DAVID, COLE, ROBINSON, , M, , 4/14/2013, 973-277-7054, 973-277-7054, 1151 WARING AVENUE, PH, BRONX, NY, 10469, , , 968773, 15961996, 
DAVID, H, ROBINSON, , M, , 5/3/1992, 609-727-8900, 609-727-8900, 3486 FENTON AVENUE, 3B, BRONX, NY, 10469, , , 398823, 15422189, 

AXEL, COLE, ROBINSON, , M, , 4/14/2013, 973-277-7054, 973-277-7054, 1151 ESPLNADE AVENUE, 1, BRONX, NY, 10469, , , 969030, 15416671, 
DAVID, H, ROBINSON, , M, , 5/3/1992, 609-727-8900, 609-727-8900, 3486 FENTON AVENUE, 3B, BRONX, NY, 10469, , , 398823, 15422189, 

CERA, , JONES, , F, , 10/5/1997, 718-657-4489, , 17744 165TH STREET, PH, JAMICA, NY, 14327, , , 1341378, 15576843, 
FANNIE, , JONES, , F, , 12/4/1988, 609-118-4859, , 2435 CRESTON AVENUE, 12F, BRONX, NY, 10468, , , 4835501, 15782200, 

CERA, TERESA, JONES, , F, , 12/4/1988, 718-657-4489, , 10424 190 STREET, PVT, QUEEN, NY, 11214, , CJONES@AMGGT.COM, 1341536, 15699653, 
FANNIE, , JONES, , F, , 12/4/1988, 609-118-4859, , 2435 CRESTON AVENUE, 12F, BRONX, NY, 10468, , , 4835501, 15782200, 

WILLIE, JOHN, ATKINSON, , M, , 5/17/2009, 570-356-1944, 570-356-1944, 11815 226TH STREET, BSMT, CAMBRIA HTS, NY, 11411, , WATKINSON@AMGGT.COM, 1410241, 15761501, 
MICHAEL, JAMES, HUNTER, , M, , 5/17/2009, 862-784-8684, 862-784-8684, 2747 SEDWICK AVENUE, 4A, BRONX, NY, 10468, , , 1410253, 15879455, 

KENO, , ATKINSON, , M, , 5/17/2009, 570-356-1944, 570-356-1944, 12016 233RD STREET, PH, CAMBRIA HTS, NY, 11411, , , 1410137, 15739149, 
MICHAEL, JAMES, HUNTER, , M, , 5/17/2009, 862-784-8684, 862-784-8684, 2747 SEDWICK AVENUE, 4A, BRONX, NY, 10468, , , 1410253, 15879455, 

ANGEL, FRANK, MOLTER, , M, , 2/11/2008, , , 520 ISHAM STREET, 43 B, NEW YORK, NY, 10034, , AMOLTER@AMGGT.COM, 926028, 16009750, 
ANGEL, HAROLD, MALTER, , M, , 12/16/2006, 484-189-6527, 484-189-6527, , , , , , , , , 15854831, 

ANGEL, FRANK, MOLTER, , M, , 2/11/2008, , , 520 ISHAM STREET, 43 B, NEW YORK, NY, 10034, , AMOLTER@AMGGT.COM, 926028, 16009750, 
ANGEL, , MALTER, , M, , 12/16/2006, 732-306-2718, 732-306-2718, , , , , , , , 772681, 15576746, 

ANGEL, FRANK, MOLTER, , M, , 2/11/2008, 347-291-8714, , , , , , , , , 925915, 15405097, 
ANGEL, HAROLD, MALTER, , M, , 12/16/2006, 484-189-6527, 484-189-6527, , , , , , , , , 15854831, 

ANGEL, FRANK, MOLTER, , M, , 2/11/2008, 347-291-8714, , , , , , , , , 925915, 15405097, 
ANGEL, , MALTER, , M, , 12/16/2006, 732-306-2718, 732-306-2718, , , , , , , , 772681, 15576746, 
