AMANDA, , WIEDEL, , F, , 11/2/2005, 609-831-9721, 609-831-9721, 735 PELHAM PARKWAY N, 1H, BRONX, NY, 10467, , AWIEDEL@AMGGT.COM, , 15415697, 
ALEXANDER, J, COOPER, , M, , 12/10/2007, 845-927-2776, 845-927-2776, 911 SIMPSON STREET, 14, BRONX, NY, 10459, , , 807830, 15879388, 

SOPHORN, , YANES, , F, , 3/7/2010, , , , , , , , , , , 15696037, 
SOPHORN, , YANES, , F, , 3/7/2010, 203-611-7341, 203-611-7341, 1830 COLLEGE POINT BOULEVARD, 2FL, CORONA, NY, 11368, , SYANES@AMGGT.COM, 716567, 15976518, 
SOPHORN, , YANES, , F, , 3/7/2010, 203-611-7341, 203-611-7341, 1830 COLLEGE POINT, , COLLEGE POINT, NY, 11356, , , 730835, 15957106, 

BAILEIGH, , BATTIN, , M, , 3/19/2009, , , , , , , , , , , 15487895, 
BAILEIGH, JOSEPH, BATTIN, , M, , 3/19/2009, 860-115-4807, 860-115-4807, 131 MOORE STREET, 16B, BROOKLYN, NY, 11206, , BBATTIN@AMGGT.COM, 739339, 15702091, 
BAILEIGH, , BATTIN, , M, , 3/19/2009, 860-115-4807, 860-115-4807, , , , , , , , 747999, 15794088, 

KELLY, LETITIA, MADDEN, , F, , 12/8/2004, , , 2575 MARION AVENUE, PH, , , 10458, , , , 15453481, 
KELLY, LETITIA, MADDEN, , F, , 12/8/2004, 631-668-1409, 631-668-1409, 2575 MARION AVENUE, PH, BRONX, NY, 10458, , , 774421, 15609828, 
KELLY, , MADDEN, , F, , 12/8/2004, 631-668-1409, 631-668-1409, 211 VERGASON AVENUE, 1, NORWICH, CT, 6360, , KMADDEN@AMGGT.COM, 817584, 15410131, 

MASON, A, STOTTS, , M, , 8/2/1998, , , , , , , , , , , 15674622, 
MASON, , STOTTS, , M, , 8/2/1998, 212-170-3287, 212-170-3287, 471 E 138ST, 2W, BRONX, NY, 10454, , MSTOTTS@AMGGT.COM, 711427, 15776792, 
MASON, A, STOTTS, , M, , 8/2/1998, 212-170-3287, 212-170-3287, , , , , , , , 719283, 15542589, 

KENNETH, , SHIPE, , M, , 12/29/1992, , , , , , , , , , , 15436368, 
KENNETH, , SHIPE, , M, , 12/29/1992, 347-261-4356, 570-179-6233^^347-261-4356, 1444 ST LWRENCE AVENUE, , BRONX, NY, 10460, , , 738549, 15693955, 
KENNETH, , SHIPE, , M, , 12/29/1992, , , 135 WEST 128 STREET, , BRONX, NY, 10462, , , 811440, 15456901, 

ASHLEY, , FOGATA, , F, , 12/25/1934, , , , , , , , , , , 15500603, 
ASHLEY, , FOGATA, , F, , 12/25/1934, 862-500-2898, 862-500-2898, 621 STMARK AVENUE, 1F, BROOKLYN, NY, 11216, , , 770050, 15746002, 
ASHLEY, , FOGATA, , F, , 12/25/1934, 347-783-2488, 610-471-2820^^347-783-2488, 621 STMARKS AVENUE, , BROOKLYN, NY, 11216, , , 809645, 16023717, 

DIANE, J, SANTEE, , F, , 8/9/2007, , , 1161 STRATFORD AVENUE, 4H, , , 10472, , , , 15580708, 
DIANE, J, SANTEE, , F, , 8/9/2007, 347-186-2949, 347-186-2949, 1161 STRATFORD AVENUE, 4H, BRONX, NY, 10472, , , 788013, 16004211, 
DIANE, J, SANTEE, , F, , 8/9/2007, 347-186-2949, 347-186-2949, 890 GARRISON AVENUE, , BRONX, NY, 10472, HOFFENBERG, DSANTEE@AMGGT.COM, 820419, 15747312, 

XAVIER, , SOLOMON, , M, , 12/12/2013, , , 436 HERMAN STREET, 1, , , 11237, , , , 15751524, 
XAVIER, , SOLOMON, , M, , 12/12/2013, 908-689-4134, 908-689-4134, 436 HERMAN STREET, 1, BROOKLYN, NY, 11237, , , 721275, 15461540, 
XAVIER, J, SOLOMON, , M, , 12/12/2013, 908-689-4134, 908-689-4134, 116 ST NICHOLAS AVENUE, 1FL, BROOKLYN, NY, 11237, DODD, XSOLOMON@AMGGT.COM, 800348, 15686370, 

LUCILLE, , CURTIS, , F, , 12/7/1998, , , , , , , , , , , 15698222, 
LUCILLE, THERESA, CURTIS, , F, , 12/7/1998, 845-430-2213, 934-663-2124^^845-430-2213, 22 LEWIS AVENUE, 1D, BROOKLYN, NY, 11206, , , 741405, 15708564, 
LUCILLE, THERESA, CURTIS, , F, , 12/7/1998, 845-944-6209, 845-944-6209, 138 CUMBERLAND WALK, 6F, BROOKLYN, NY, 11205, , , 770083, 15676112, 

ADRIAN, , SMITH, , M, , 11/5/2004, , , , , , , , , , , 15474627, 
ADRIAN, J, SMITH, , M, , 11/5/2004, 347-743-8625, 347-743-8625, 990 PUTNAM AVENUE, 7, BROOKLYN, NY, 11221, , , 774962, 15626391, 
ADRIAN, JOHN, SMITH, , M, , 11/5/2004, 347-743-8625, 347-743-8625, 227 MADISON STREET, , NEW YORK, NY, 10002, , , 791575, 15733493, 

ROBERT, , YEUNG, , M, , 12/2/2006, , , 3420 30 STREET, 6H, , , 11106, , , , 15861793, 
ROBERT, , YEUNG, , M, , 12/2/2006, 934-192-1409, 934-192-1409, 14305 41 AVRNUE, 7G, FLUSHING, NY, 11355, , RYEUNG@AMGGT.COM, 739557, 16007127, 
ROBERT, , YEUNG, , M, , 12/2/2006, 934-192-1409, 934-192-1409, 3420 30 STREET, 6H, LONG ISLAND CTY, NY, 11106, , , 756730, 15755814, 

CARLY, , COREY, , F, , 11/22/2002, , , , , , , , , , , 15635231, 
CARLY, R, COREY, , F, , 11/22/2002, 908-408-9814, 908-408-9814, 925 EAST 32ND STREET, PVT, BROOKLYN, NY, 11210, , , 818318, 15751747, 
CARLY, , COREY, , F, , 11/22/2002, 908-408-9814, 908-408-9814, 925 EAST 32 STREET, , BROOKLYN, NY, 11210, , , 823222, 15849355, 

MARINA, , MORAN, , F, , 2/24/2005, , , , , , , , , , , 15528279, 
MARINA, , MORAN, , F, , 2/24/2005, 908-175-1709, 908-175-1709, , , , , , , , 809450, 15501678, 
MARINA, , MORAN, , F, , 2/24/2005, 908-175-1709, 908-175-1709, 9518 CRESKILL PLACE, 2FL, JAMAICA, NY, 11432, , MMORAN@AMGGT.COM, 821111, 15964092, 

JOHN, CHARLES, KIRBY, , M, , 3/6/2013, , , 1600 METROPOLITAN AVENUE, MD, , , 10462, , , , 15894164, 
JOHN, , KIRBY, , M, , 3/6/2013, 212-913-8185, 212-913-8185, 2288 2ND AVENUE, 5A, NEW YORK, NY, 10035, , , 762100, 15921747, 
JOHN, CHARLES, KIRBY, , M, , 3/6/2013, 212-913-8185, 212-913-8185, 1600 METROPOLITAN AVENUE, MD, BRONX, NY, 10462, , JKIRBY@AMGGT.COM, 797153, 15811475, 

DANIELLA, , DDIEGO, , F, , 12/7/1991, , , , , , , , , , , 15382601, 
DANIELLA, SAMANTHA, DDIEGO, , F, , 12/7/1991, 551-447-4317, 551-447-4317, 508 WILLIAMS AVENUE, 3D, BROOKLYN, NY, 11212, , , 761261, 16022071, 
DANIELLA, SAMANTHA, DDIEGO, , F, , 12/7/1991, 929-724-2964, 862-963-4718^^929-724-2964, 50 WILLIAMS STREET, , BROOKLYN, NY, 11207, , , 808226, 15493654, 

DONALD, CLAUDE, JOHNSON, , M, , 5/25/1955, , , 651 WYONA STREET, 1R, , , 11207, , , , 15798408, 
DONALD, CLAUDE, JOHNSON, , M, , 5/25/1925, 860-321-6016, 860-321-6016, 651 WYONA STREET, 1R, BROOKLYN, NY, 11207, , , , 15502301, 
DONALD, CLAUDE, JOHNSON, , M, , 5/25/1925, 718-887-6272, 551-691-2254^^718-887-6272, 1178 EASTERN PARKWAY, C1, BROOKLYN, NY, 11213, , , , 15895819, 

LUKE, , EHLERT, , M, , 7/12/2009, , , 441 E 96TH STREET, 2R, , , 11212, , , , 15835107, 
LUKE, GREG, EHLERT, , M, , 7/12/2009, 917-593-8918, 917-593-8918, 802 SARATOGA AVENUE, 1B, BROOKLYN, NY, 11212, , , 739089, 15760157, 
LUKE, , EHLERT, , M, , 7/12/2009, 917-593-8918, 917-593-8918, 441 E 96TH STREET, 2R, BROOKLYN, NY, 11212, , , 805339, 16010239, 

SUSAN, , SALPIETRO, , F, , 12/17/1977, , , , , , , , , , , 15772216, 
SUSAN, , SALPIETRO, , F, , 12/17/1977, 201-303-9028, 201-303-9028, MABON BUILDING 13, , NEW YORK, NY, 10035, , , 729719, 15780772, 
SUSAN, KRISTEN, SALPIETRO, , F, , 12/17/1977, 718-324-7657, 203-253-5921^^718-324-7657, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 803990, 15982610, 

ROBERT, , SAHU, , M, , 12/21/1994, , , , , , , , , , , 15845850, 
ROBERT, , SAHU, , M, , 12/21/1994, 959-263-6779, 203-579-2341^^959-263-6779, 681 CLARKSON AVENUE, O6, BROOKLYN, NY, 11231, , , 283843, 15857713, 
ROBERT, JOSEPH, SAHU, , M, , 12/21/1994, , , 681 CLARKSON AVENUE, 6, BROOKLYN, NY, 11203, , RSAHU@AMGGT.COM, 283923, 15918128, 

MICHAEL, A, MILLER, , M, , 4/9/1993, , , 717 COSTER STREET, 4G, , , 10474, , , , 15825271, 
MICHAEL, A, MILLER, , M, , 4/9/1993, 908-505-9602, 908-505-9602, 722 E181ST STREET, 3FL, BRONX, NY, 10457, , MMILLER@AMGGT.COM, 797458, 15681911, 
MICHAEL, A, MILLER, , M, , 4/9/1993, 908-505-9602, 908-505-9602, 717 COSTER STREET, 4G, BRONX, NY, 10474, , , 812809, 15849111, 

CARLYE, , PERRY, , F, , 12/20/2007, , , , , , , , , , , 15895671, 
CARLYE, EMMA, PERRY, , F, , 12/20/2007, 860-988-4090, 860-988-4090, 615 EAST 158TH STREET, 3A, BRONX, NY, 10456, , , 762484, 15379382, 
CARLYE, EMMA, PERRY, , F, , 12/20/2007, 860-988-4090, 860-988-4090, 615 E 158 STREET, 3A, BRONX, NY, 10451, , , 785015, 15665881, 

DAVID, , KEFAUVER, , M, , 12/26/1976, , , , , , , , , , , 16021174, 
DAVID, DARRYL, KEFAUVER, , M, , 12/26/1976, 267-487-1788, 908-486-2428^^267-487-1788, 11820 222 STREET, PH, SOUTH OZONE PARK, NY, 11420, , , 718393, 15495506, 
DAVID, DARRYL, KEFAUVER, , M, , 12/26/1976, 959-288-3731, 959-288-3731, 11820 222ND STREET, APT1, CAMBRIA HEIGHTS, NY, 11411, , , 735743, 15755109, 

RICHARD, EDWARD, NEW, , M, , 12/8/1997, , , 752 MACDONOUGH STREET, 3L, , , 11233, , , , 15495094, 
RICHARD, , NEW, , M, , 12/8/1997, 551-703-8053, 551-703-8053, 175 15 ROCKAWAY BOULEVARD, , JAMAICA, NY, 11434, , , 764896, 15686642, 
RICHARD, EDWARD, NEW, , M, , 12/8/1997, 551-703-8053, 551-703-8053, 752 MACDONOUGH STREET, 3L, BROOKLYN, NY, 11233, , RNEW@AMGGT.COM, 781596, 15856354, 

COLIN, CARTER, CLARK, , M, , 2/17/1993, , , 1405 E 170 STREET, 3K, , , 10456, , , , 15875634, 
COLIN, C, CLARK, , M, , 2/17/1993, 570-403-9621, 570-403-9621, 1405 COLLEGE AVENUE, 3F, BRONX, NY, 10456, , , 728090, 15534729, 
COLIN, CARTER, CLARK, , M, , 2/17/1993, 570-403-9621, 570-403-9621, 1405 E 170 STREET, 3K, BRONX, NY, 10456, , , 805491, 15997957, 

NORMA, LUZ, NELSON, , F, , 3/8/2002, , , UNK, , , , 10457, , , , 15537678, 
NORMA, L, NELSON, , F, , 3/8/2002, 959-817-5914, 959-817-5914, 3435 GATES PLACE, 25, BRONX, NY, 10467, , , 768069, 15391866, 
NORMA, LUZ, NELSON, , F, , 3/8/2002, 959-817-5914, 959-817-5914, UNK, , BRONX, NY, 10457, , , 797330, 15742903, 

CODY, , LEWIS, , M, , 8/3/2014, , , , , , , , , , , 15779037, 
CODY, J, LEWIS, , M, , 8/3/2014, 631-430-9774, 631-430-9774, 2385 CRESTON AVENUE, 3C, BRONX, NY, 10460, , , 730924, 15448912, 
CODY, JASON, LEWIS, , M, , 8/3/2014, 631-430-9774, 631-430-9774, 2385 CRESTON AVENUE, 3C, BRONX, NY, 10472, , , 809416, 15941975, 

TAYLER, , SOLANO, , F, , 10/14/1974, , , 549 FDR DRIVE, 5E, , , 10002, , , , 15989907, 
TAYLER, , SOLANO, , F, , 10/14/1944, 203-529-1991, 203-529-1991, 549 FDR DRIVE, 5E, NEW YORK, NY, 10002, , TSOLANO@AMGGT.COM, , 15755235, 
TAYLER, , SOLANO, , F, , 10/14/1944, 484-813-5673, 959-876-4223^^484-813-5673, 64 BARUCH DRIVE, 13E, NEW YORK, NY, 10002, , , , 15414539, 

SHAFFER, , SPAETH, , M, , 7/12/1997, , , , , , , , , , , 15889806, 
SHAFFER, , SPAETH, , M, , 7/12/1997, 934-734-1984, 934-734-1984, 954 ROGERS PLACE, 2, BRONX, NY, 10459, , SSPAETH@AMGGT.COM, 741387, 15637664, 
SHAFFER, DANNY, SPAETH, , M, , 7/12/1997, 934-734-1984, 973-723-9560^^934-734-1984, 1414 HAZEN STREET, , FLUSHING, NY, 11373, , , 773215, 15464268, 

ANGELA, , WATKINSSZALA, , F, , 4/27/1997, , , 1275 GRAND CONCOURCE, 3 B, , , 10456, , , , 15569837, 
ANGELA, , WATKINSSZALA, , F, , 4/27/1997, 610-196-3594, 718-681-1904^^610-196-3594, 1272 GRAND CONCOURSE, 3V, BRONX, NY, 10456, , , 790745, 15432809, 
ANGELA, , WATKINSSZALA, , F, , 4/27/1997, 610-196-3594, 610-196-3594, 1275 GRAND CONCOURCE, 3 B, BRONX, NY, 10456, , AWATKINSSZALA@AMGGT.COM, 810702, 15672536, 

THOMAS, , FLETCHER, , M, , 12/5/2005, , , 14850 59TH AVENUE, , , , 11355, , , , 15563802, 
THOMAS, A, FLETCHER, , M, , 12/5/2005, 610-917-4771, 610-917-4771, 14210 ROOSEVELT AVENUE, 517, FLUSHING, NY, 11354, , TFLETCHER@AMGGT.COM, 765117, 15744316, 
THOMAS, , FLETCHER, , M, , 12/5/2005, 610-917-4771, 610-917-4771, 14850 59TH AVENUE, , FLUSHING, NY, 11355, , , 771021, 15545053, 

GISELLE, K, THORNTON, , F, , 12/18/2011, , , MABON BUILDING, , , , 10035, , , , 15999418, 
GISELLE, KESHA, THORNTON, , F, , 12/18/2011, 570-791-1355, 570-791-1355, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 725426, 15848711, 
GISELLE, K, THORNTON, , F, , 12/18/2011, 570-791-1355, 570-791-1355, MABON BUILDING, , NEW YORK, NY, 10035, , GTHORNTON@AMGGT.COM, 756240, 15638504, 

VICTOR, , STENSON, , M, , 5/14/2011, , , 2 ARDEN STREET, 46, , , 10040, , , , 15717790, 
VICTOR, , STENSON, , M, , 5/14/2011, 203-343-3269, 203-343-3269, 567 WEST 149TH STREET, 55, NEW YORK, NY, 10031, , , 718911, 15515470, 
VICTOR, , STENSON, , M, , 5/14/2011, 203-343-3269, 203-343-3269, 2 ARDEN STREET, 46, NEW YORK, NY, 10040, , , 781180, 15853422, 

MANDY, , RODRIGUEZ, , F, , 9/25/1923, , , , , , , , , , , 15754247, 
MANDY, , RODRIGUEZ, , F, , 9/25/1923, 551-745-9554, 201-284-5500^^551-745-9554, 950 EFOURTH WALK, 5 I, NEW YORK, NY, 10009, , , 805863, 15922650, 
MANDY, , RODRIGUEZ, , F, , 9/25/1923, 484-213-9995, 484-213-9995, 950 E 4TH WALK, 5I, NEW YORK, NY, 10008, , MRODRIGUEZ@AMGGT.COM, 815305, 15956489, 

KAIDEN, , SALAMEH, , M, , 11/20/2011, , , , , , , , , , , 15812945, 
KAIDEN, , SALAMEH, , M, , 11/20/2011, 212-838-2095, 212-838-2095, 219 EAST 121 STREET, , NEW YORK, NY, 10035, , , 726028, 15508283, 
KAIDEN, , SALAMEH, , M, , 11/20/2011, 212-838-2095, 212-838-2095, 219 EAST 121 STREET, , NEW YORK, NY, 10035, , , 745651, 15783239, 

DEBRA, , POPE, , F, , 11/15/2011, , , 8268 164 STREET, HOSP, , , 11423, , , , 15759095, 
DEBRA, EARLEEN, POPE, , F, , 11/15/2011, 934-699-6479, 934-699-6479, 5326 SCHRUDAL AVENUE, PH, JAMAICA, NY, 11432, , DPOPE@AMGGT.COM, 716437, 15414472, 
DEBRA, , POPE, , F, , 11/15/2011, 934-699-6479, 934-699-6479, 8268 164 STREET, HOSP, HOLLIS, NY, 11423, , , 774669, 15459571, 

VENECIA, , BARNABY, , F, , 11/13/1967, , , , , , , , , , , 16021415, 
VENECIA, N, BARNABY, , F, , 11/13/1967, 934-722-9816, 934-722-9816, 1160 TELLER AVENUE, 5E, BRONX, NY, 10456, , , 755660, 15702170, 
VENECIA, N, BARNABY, , F, , 11/13/1967, 201-614-4217, 929-692-5073^^201-614-4217, 535 EAST 142 STREET, 2E, BRONX, NY, 10454, , , 761490, 15628178, 

MARY, , HAGER, , F, , 12/11/2002, , , , , , , , , , , 15967120, 
MARY, , HAGER, , F, , 12/11/2002, 551-943-6454, 551-943-6454, 1033 FAILE STREET, 5FL, BRONX, NY, 10459, , , 750838, 15453566, 
MARY, , HAGER, , F, , 12/11/2002, 551-943-6454, 551-943-6454, 1040 FAILE STREET, , BRONX, NY, 10459, , , 800991, 15838179, 

JOHN, , SWAN, , M, , 10/2/2014, , , 219 E 121 STREET, , , , 10035, , , , 15447876, 
JOHN, , SWAN, , M, , 10/2/2014, 610-876-9490, 610-876-9490, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 794279, 15891331, 
JOHN, FRANK, SWAN, , M, , 10/2/2014, 610-876-9490, 610-876-9490, MABON BUILDING, , NEW YORK, NY, 10035, , , 810969, 15922819, 

CRAIG, , RODRIGUEZPEREZ, , M, , 6/5/2007, , , , , , , , , , , 15753770, 
CRAIG, L, RODRIGUEZPEREZ, , M, , 6/5/2007, 718-896-7635, 718-896-7635, 212 E 163 STREET, PH, BRONX, NY, 10451, , , 733859, 16021957, 
CRAIG, LESLIE, RODRIGUEZPEREZ, , M, , 6/5/2007, 718-896-7635, 718-896-7635, 600 CONCORDAVE, 4E, BRONX, NY, 10455, WALKER, CRODRIGUEZPEREZ@AMGGT.COM, 778800, 15518393, 

RAMONA, , TURNER, , F, , 3/23/2015, , , 3144 DECATUR AVENUE, 3E, , , 10467, , , , 15656509, 
RAMONA, , TURNER, , F, , 3/23/2015, 631-849-7069, 631-849-7069, 277 E 207TH STREET, 4G, BRONX, NY, 10467, , , 764965, 15391363, 
RAMONA, , TURNER, , F, , 3/23/2015, 631-849-7069, 631-849-7069, 3144 DECATUR AVENUE, 3E, BRONX, NY, 10467, , RTURNER@AMGGT.COM, 814077, 15633128, 

JAKSON, H, FUSSELL, , M, , 7/24/2004, , , 1122 JACKSON AVENUE, 2, , , 10456, , , , 15977499, 
JAKSON, H, FUSSELL, , M, , 7/24/2004, 959-321-7322, 959-321-7322, 1122 JACKSON AVENUE, 2, BRONX, NY, 10456, , , 759383, 15597056, 
JAKSON, H, FUSSELL, , M, , 7/24/2004, 959-321-7322, 959-321-7322, 847 HUNTS POINT AVENUE, 3B, BRONX, NY, 10474, , JFUSSELL@AMGGT.COM, 808618, 15459167, 

ALYSSA, , MORA, , F, , 2/25/1999, , , 106 ECKFORD STREET, 1R, , , 11222, , , , 15645997, 
ALYSSA, BOLENA, MORA, , F, , 2/25/1999, 267-403-1212, 267-403-1212, 462 FIRST AVENUE, , NEW YORK, NY, 10016, DUCKER, AMORA@AMGGT.COM, 759514, 15389870, 
ALYSSA, , MORA, , F, , 2/25/1999, 267-403-1212, 267-403-1212, 106 ECKFORD STREET, 1R, BROOKLYN, NY, 11222, , , 811000, 15838422, 

COREY, , WEIR, , M, , 5/17/2005, , , , , , , , , , , 15516309, 
COREY, A, WEIR, , M, , 5/17/2005, 267-425-7882, 267-425-7882, UNDOMICILED, , BRONX, NY, 10451, , , 800961, 15432302, 
COREY, A, WEIR, , M, , 5/17/2005, 267-425-7882, 267-425-7882, UNDOMICILED, , BRONX, NY, 10451, , , 820441, 15874973, 

KYLE, , ROZALES, , M, , 6/7/2011, , , , , , , , , , , 15755583, 
KYLE, MICHAEL, ROZALES, , M, , 6/7/2011, 929-559-5580, 929-559-5580, 522 ROSEDALE AVENUEF55, F55, BRONX, NY, 10473, , , 745627, 15817805, 
KYLE, M, ROZALES, , M, , 6/7/2011, 929-559-5580, 929-559-5580, , , , , , , , 756913, 15755751, 

ALVIN, CARLTON, MOLINA, , M, , 10/19/2002, , , 223 GRANT AVENUE, 2FL, , , 11208, , , , 15735028, 
ALVIN, CARLTON, MOLINA, , M, , 10/19/2002, 570-980-3363, 570-980-3363, 223 GRANT AVENUE, 2FL, BROOKLYN, NY, 11208, , , 800662, 15956329, 
ALVIN, CARLTON, MOLINA, , M, , 10/19/2002, 570-980-3363, 570-980-3363, 270 WOODBINE STREET, 1, BROOKLYN, NY, 11221, , , 819930, 15756854, 

EMALYN, K, RAY, , F, , 9/18/2015, , , 2825 CLAFIN AVENUE, 3N, , , 10467, , , , 16001839, 
EMALYN, , RAY, , F, , 9/18/2015, 718-794-1312, 718-794-1312, 1171 MORRISO AVENUE, PH, BRONX, NY, 10472, , , 784408, 15544869, 
EMALYN, K, RAY, , F, , 9/18/2015, 718-794-1312, 718-794-1312, 2825 CLAFIN AVENUE, 3N, BRONX, NY, 10467, , , 806319, 15458257, 

IAN, , BOYD, , M, , 4/19/2007, , , 2216 VIRGIL PLACE AVENUE, PH, , , 10473, , , , 15761286, 
IAN, , BOYD, , M, , 4/19/2007, 212-678-8048, 212-678-8048, 77 RUSHFIELD LANE, , VALLEY STREAM, NY, 11581, , , 762068, 16025226, 
IAN, , BOYD, , M, , 4/19/2007, 212-678-8048, 212-678-8048, 2216 VIRGIL PLACE AVENUE, PH, BRONX, NY, 10473, , IBOYD@AMGGT.COM, 816707, 15652918, 

DANA, NANCY, CROWLEY, , F, , 11/18/2010, , , , , , , , , , , 15786169, 
DANA, , CROWLEY, , F, , 11/18/2010, 848-983-3514, 848-983-3514, , , , , , , , 719180, 15744203, 
DANA, NANCY, CROWLEY, , F, , 11/18/2010, 848-983-3514, 848-983-3514, , , , , , , , 733384, 15663000, 

NIVEA, STEPHANIE, JOHNSON, , F, , 11/9/2008, , , 4830 37TH STREET, 3, , , 11101, , , , 15783931, 
NIVEA, STEPHANIE, JOHNSON, , F, , 11/9/2008, 631-908-4994, 631-908-4994, 4830 37TH STREET, 3, LONG ISLAND CTY, NY, 11101, , , 748086, 15663546, 
NIVEA, S, JOHNSON, , F, , 11/9/2008, 631-908-4994, 631-908-4994, 5122 SKILLMAN AVENUE, 4 R, FLUSHING, NY, 11377, SAWYER, NJOHNSON@AMGGT.COM, 812024, 15803596, 

MARIA, , VALERIO, , F, , 10/7/1997, , , , , , , , , , , 15910368, 
MARIA, , VALERIO, , F, , 10/7/1997, 203-364-7731, 203-364-7731, 3303 CRUGER AVENUE, PH, BRONX, NY, 10467, , , 784992, 16001828, 
MARIA, , VALERIO, , F, , 10/7/1997, 203-364-7731, 203-364-7731, 526 SOUTH CHESSNUT STREET, 513, LANSING, MI, 48933, , , 797618, 15693017, 

PAIGE, VICTORIA, PENDLETON, , F, , 12/23/2007, , , 600 W 196TH STREET, , , , 10040, , , , 15421210, 
PAIGE, VICTORIA, PENDLETON, , F, , 12/23/2007, 718-969-5621, 718-969-5621, 600 W 196TH STREET, , NEW YORK, NY, 10040, , , 739533, 15896681, 
PAIGE, VICTORIA, PENDLETON, , F, , 12/23/2007, 718-969-5621, 718-969-5621, 711 EAST 102ND STREET, B, BROOKLYN, NY, 11236, , PPENDLETON@AMGGT.COM, 759788, 15599631, 

MICHAEL, , HICKMAN, , M, , 4/22/2011, , , 1472 WEST UNION STREET, 2, , , 32209, , , , 15409045, 
MICHAEL, , HICKMAN, , M, , 4/22/2011, 551-877-9891, 551-877-9891, 230 WEST 131 STREET, 5G, NEW YORK, NY, 10027, , MHICKMAN@AMGGT.COM, 762156, 15725953, 
MICHAEL, , HICKMAN, , M, , 4/22/2011, 551-877-9891, 551-877-9891, 1472 WEST UNION STREET, 2, JACKSON VILL, FL, 32209, , , 806345, 15398405, 

NAOMI, , STEPHENS, , F, , 11/5/2004, , , 2240 EAST TREMONT, TB, , , 10462, , , , 16002367, 
NAOMI, , STEPHENS, , F, , 11/5/2004, 862-436-4274, 862-436-4274, UNABLE TO OBTAIN, , BRONX, NY, 10451, , , 787717, 15662614, 
NAOMI, , STEPHENS, , F, , 11/5/2004, 862-436-4274, 862-436-4274, 2240 EAST TREMONT, TB, BRONX, NY, 10462, , NSTEPHENS@AMGGT.COM, 808544, 15658344, 

BETTY, , MORGAN, , F, , 12/22/1920, , , , , , , , , , , 15394862, 
BETTY, L, MORGAN, , F, , 12/22/1920, 347-729-9768, 347-729-9768, 2945 PEARSALL AVENUE, , BRONX, NY, 10469, , BMORGAN@AMGGT.COM, 718440, 15624121, 
BETTY, LATARSHA, MORGAN, , F, , 12/22/1920, 848-212-6310, 212-683-7822^^347-729-9768^^848-212-6310, 2945 PASALL AVENUE, , , , , , , 738678, 15717509, 

FRANCISCO, , THOMPSON, , M, , 11/6/2010, , , , , , , , , , , 15513491, 
FRANCISCO, , THOMPSON, , M, , 11/6/2010, 908-844-7607, 959-697-9173^^908-844-7607, 2805 DEWEY AVENUE, 6C, BRONX, NY, 10465, , , 791547, 15376144, 
FRANCISCO, , THOMPSON, , M, , 11/6/2010, 908-844-7607, 908-844-7607, 2805 DEWEY AVENUE, 6C, BRONX, NY, 10465, , FTHOMPSON@AMGGT.COM, 815997, 15434461, 

JANET, , MILLER, , F, , 4/16/1993, , , , , , , , , , , 15489917, 
JANET, , MILLER, , F, , 4/16/1993, 718-582-7588, 718-582-7588, 1131 OGDEN AVENUE, 2C, NEW YORK, NY, 10031, , , 759807, 15590123, 
JANET, , MILLER, , F, , 4/16/1993, 718-582-7588, 718-582-7588, 1131 OGDEN AVENUE, 26C, BRONX, NY, 10452, , , 808050, 15402794, 

KARL, , RAMIREZ, , M, , 12/16/2003, , , , , , , , , , , 15956469, 
KARL, ROBERT, RAMIREZ, , M, , 12/16/2003, 732-664-8179, 610-888-7121^^732-664-8179, 2102 BEVERLY ROAD, 3G, BROOKLYN, NY, 11226, , , 722918, 15950320, 
KARL, ROBERT, RAMIREZ, , M, , 12/16/2003, 845-287-9187, 845-287-9187, 2102 BEVERLY ROAD, 3G, BROOKLYN, NY, 11226, , KRAMIREZ@AMGGT.COM, 741251, 15686395, 

ALURA, , BLAKELY, , F, , 8/9/2007, , , 104 CLIFTON PLACE, 1A, , , 11238, , , , 15870234, 
ALURA, , BLAKELY, , F, , 8/9/2007, 732-721-5412, 732-721-5412, 104 CLIFTON PLACE, 1A, BROOKLYN, NY, 11238, , , 812759, 15597419, 
ALURA, , BLAKELY, , F, , 8/9/2007, 732-721-5412, 732-721-5412, 224 AVENUE B, 24, NEW YORK, NY, 10009, , , 818145, 15873614, 

ADAM, , ADKINSON, , M, , 4/16/2012, , , , , , , , , , , 15549362, 
ADAM, EUGENE, ADKINSON, , M, , 4/16/2012, 934-509-6296, 934-509-6296, 2021 LEXINGTON AVENUE, 1A, NEW YORK, NY, 10035, , , 730810, 15651872, 
ADAM, EUGENE, ADKINSON, , M, , 4/16/2012, 934-509-6296, 934-509-6296, 2021 LEXINGTON AVENUE, 1A, NEW YORK, NY, 10035, , , 737060, 15574881, 

MICHAEL, , FAULHABER, , M, , 3/15/2002, , , 1815 GRAND CONCOURSE, 4B, , , 10453, MOORE, , , 15953615, 
